id,currency,ratedate,buyingrate,centralrate,sellingrate
57965,CFA,2025-02-07,2.3482,2.3582,2.3682
57966,YUAN/RENMINBI,2025-02-07,205.7030,205.7716,205.8401
57967,DANISH KRONA,2025-02-07,208.5700,208.6396,208.7091
57968,EURO,2025-02-07,1444.7967,1500.9611,1557.1255
57977,CFA,2025-02-10,2.3528,2.3628,2.3728
57978,YUAN/RENMINBI,2025-02-10,205.1718,205.2402,205.3087
57979,DANISH KRONA,2025-02-10,207.0939,207.1630,207.2321
57980,EURO,2025-02-10,1544.7925,1545.3079,1545.8232
57981,YEN,2025-02-10,9.8786,9.8819,9.8852
57982,RIYAL,2025-02-10,399.6534,399.7867,399.9200
57983,SOUTH AFRICAN RAND,2025-02-10,81.3670,81.3941,81.4213
57984,SDR,2025-02-10,1957.4067,1958.0597,1958.7127
57985,SWISS FRANC,2025-02-10,1645.9258,1646.4749,1647.0239
57986,POUNDS STERLING,2025-02-10,1854.7403,1855.3590,1855.9778
57987,US DOLLAR,2025-02-10,1498.7800,1499.2800,1499.7800
57988,WAUA,2025-02-10,1957.6363,1958.2894,1958.9425
57989,CFA,2025-02-11,2.3398,2.3498,2.3598
57990,YUAN/RENMINBI,2025-02-11,203.6155,203.6833,203.7511
57991,DANISH KRONA,2025-02-11,207.9165,207.9857,208.0549
57992,EURO,2025-02-11,1550.8891,1551.4054,1551.9216
57993,YEN,2025-02-11,9.8574,9.8607,9.8640
57994,RIYAL,2025-02-11,400.5311,400.6644,400.7978
57995,SOUTH AFRICAN RAND,2025-02-11,81.1988,81.2258,81.2528
57996,SDR,2025-02-11,1957.1996,1957.8511,1958.5026
57997,SWISS FRANC,2025-02-11,1644.4841,1645.0315,1645.5789
57998,POUNDS STERLING,2025-02-11,1861.0670,1861.6865,1862.3060
57999,US DOLLAR,2025-02-11,1502.0718,1502.5718,1503.0718
58000,WAUA,2025-02-11,1953.0824,1953.7326,1954.3827
58001,CFA,2025-02-12,2.3457,2.3557,2.3657
58002,YUAN/RENMINBI,2025-02-12,205.6753,205.7437,205.8121
58003,DANISH KRONA,2025-02-12,208.9892,209.0587,209.1282
58004,EURO,2025-02-12,1558.9233,1559.4418,1559.9603
58005,YEN,2025-02-12,9.7916,9.7948,9.7981
58006,RIYAL,2025-02-12,400.8055,400.9388,401.0721
58007,SOUTH AFRICAN RAND,2025-02-12,81.4365,81.4636,81.4907
58008,SDR,2025-02-12,1958.2001,1958.8514,1959.5027
58009,SWISS FRANC,2025-02-12,1647.9952,1648.5433,1649.0914
58010,POUNDS STERLING,2025-02-12,1870.8583,1871.4806,1872.1028
58011,US DOLLAR,2025-02-12,1503.3012,1503.8012,1504.3012
58012,WAUA,2025-02-12,1956.6598,1957.3106,1957.9614
58013,CFA,2025-02-13,2.3574,2.3674,2.3774
58014,YUAN/RENMINBI,2025-02-13,206.4642,206.5327,206.6012
58015,DANISH KRONA,2025-02-13,209.4866,209.5561,209.6256
58016,EURO,2025-02-13,1565.1951,1565.7145,1566.2338
58017,YEN,2025-02-13,9.7945,9.7977,9.8010
58018,RIYAL,2025-02-13,401.7594,401.8927,402.0260
58019,SOUTH AFRICAN RAND,2025-02-13,81.3193,81.3463,81.3733
58020,SDR,2025-02-13,1965.8742,1966.5265,1967.1788
58021,SWISS FRANC,2025-02-13,1659.5583,1660.1089,1660.6596
58022,POUNDS STERLING,2025-02-13,1878.1739,1878.7971,1879.4203
58023,US DOLLAR,2025-02-13,1506.8789,1507.3789,1507.8789
58024,WAUA,2025-02-13,1960.5429,1961.1935,1961.8440
58025,CFA,2025-02-14,2.3619,2.3719,2.3819
58026,YUAN/RENMINBI,2025-02-14,207.4529,207.5217,207.5905
58028,EURO,2025-02-14,1581.6900,1582.2145,1582.7391
58029,YEN,2025-02-14,9.9006,9.9039,9.9072
58030,RIYAL,2025-02-14,401.8508,401.9840,402.1173
58031,SOUTH AFRICAN RAND,2025-02-14,82.1517,82.1789,82.2061
58032,SDR,2025-02-14,1968.7073,1969.3602,1970.0131
58033,SWISS FRANC,2025-02-14,1675.1819,1675.7374,1676.2930
58034,POUNDS STERLING,2025-02-14,1900.5609,1901.1912,1901.8215
58035,US DOLLAR,2025-02-14,1507.6637,1508.1637,1508.6637
58036,WAUA,2025-02-14,1962.3770,1963.0278,1963.6786
58037,CFA,2025-02-17,2.3878,2.3978,2.4078
58038,YUAN/RENMINBI,2025-02-17,207.4997,207.5685,207.6373
58039,DANISH KRONA,2025-02-17,211.7906,211.8608,211.9311
58042,YEN,2025-02-17,9.9531,9.9564,9.9597
58043,RIYAL,2025-02-17,401.9594,402.0927,402.2260
58044,SOUTH AFRICAN RAND,2025-02-17,81.7822,81.8093,81.8364
58045,SDR,2025-02-17,1975.5445,1976.1997,1976.8549
58046,SWISS FRANC,2025-02-17,1673.0539,1673.6088,1674.1637
58047,POUNDS STERLING,2025-02-17,1899.4113,1900.0412,1900.6712
58048,US DOLLAR,2025-02-17,1507.5889,1508.0889,1508.5889
